Id,ExcerptPostId,WikiPostId,TagName,Count
1,2496,2495,bug,28
3,,,discussion,580
4,,,faq,12
5,,,status-completed,70
13,3062,3061,support,55
14,,,moderators,10
16,,,site-migration,2
17,,,chat,2
19,,,tagging,6
21,,,site-promotion,8
22,,,top-7,9
23,786,785,allowed-topics,73
25,790,789,questions,49
28,,,country-tags,10
33,,,site-information,7
36,2075,2074,tags,88
37,,,comments,8
38,,,badges,3
39,,,answers,13
40,,,search,0
41,,,voting,4
42,,,editing,6
43,788,787,bounty,2
44,,,user-interface,0
45,,,specific-question,7
46,,,accepted-answer,1
47,,,markdown,0
48,,,stackexchange,4
49,,,community-wiki,2
50,,,down-votes,6
51,,,openid,0
52,,,migration,7
53,,,vote-to-close,4
54,2185,2184,exact-duplicates,5
55,,,etiquette,2
56,,,notifications,0
57,,,users,0
58,,,closed-questions,25
59,,,hyperlinks,2
60,,,data-dump,0
61,,,asking-questions,10
62,,,recent-activity,1
63,,,new-users,4
64,2181,2180,profile-page,1
65,2183,2182,flagging,13
66,,,unanswered-questions,1
67,,,retagging,0
68,,,moderation,17
69,,,data-explorer,0
70,,,close-reasons,9
71,,,user-accounts,2
72,,,formatting,0
73,,,interesting-tags,0
74,,,up-votes,0
75,,,meta,2
76,,,statistics,5
77,,,login,0
78,,,rss,0
79,,,bookmarks,0
80,,,deleted-questions,12
81,,,votes,1
82,,,tag-synonyms,32
83,,,featured,0
84,,,economics,4
90,,,design,16
92,,,feature-request,44
93,,,status-declined,3
94,3067,3066,status-bydesign,5
95,3069,3068,status-norepro,1
96,3071,3070,status-reproduced,0
97,3060,3059,status-planned,0
98,3058,3057,status-deferred,1
99,2889,2888,status-review,0
100,,,reputation,3
101,,,tag-wiki,4
103,,,community-ads,7
109,,,closing-questions,14
113,,,quality-evaluation,6
114,,,suggestion,3
118,,,site-evaluation,5
119,,,review-queue,4
120,,,stats,2
121,,,off-topic,29
123,2187,2186,election,11
134,,,scope,3
135,2871,2870,product-discovery,0
136,,,hot-network-questions,3
137,,,bot,1
138,,,quant,1
